	thread	tid	sent	ManualLabel	codes	stakeholder	signal	intent	action	LEN	LEN.1
2305	221442	221442:59	This is how it works: CODESNIPPET_JAVA1 .	o	['Others']					43	79
2831	483379	483379:8	Don't ask.	n	['Performance']					12	64
2540	7358775	7358775:229	However, I do share your view on Swing not offering advanced components.	p	['Others']					74	72
3484	3409608	3409608:34	Doh!.	n	['Usability']					7	45
1872	5828625	5828625:33	You have to read input-values from widgets and store them in normal variables before a dialog is disposed.	o	['Others']		support suggestion			108	93
2611	26458	26458:47	It includes URL_http://www.instantiations.com/windowbuilder/swingdesigner/index.html [Swing-Designer] , which is a Swing UI builder.	o	['Performance', 'Usability']					134	70
3269	1688099	1688099:72	CODESNIPPET_JAVA1 .	o	['Usability']					21	52
4208	2971315	2971315:22	 Basics:** CODETERM1 is an immutable class, it can't be changed.	o	['Usability']					66	21
1339	5571519	5571519:6	Since there are so many ways to go about it, we could better inform you if you shared your goals and why you're trying to to DIY.	o	['Others']					131	115
3498	3409608	3409608:48	Three connections can be faster than one, briefly at the start of a transfer.	n	['Usability']					79	45
4365	309424	309424:73	Only the version that takes a byte[] parameter is.	o	['Usability']					52	12
2948	507391	507391:32	Apparently there are certain concern when it comes to persistent storage in ActiveMQ.	o	['Security', 'Bug']					87	60
3693	309424	309424:188	or if you want raw speed I'd propose a variation on what Paul de Vrieze suggested (which avoids using a StringWriter (which uses a StringBuffer internally) : CODESNIPPET_JAVA2 .	o	['Usability']		suggestion			179	39
3849	5620985	5620985:65	After all, it's become the standard way of doing this with JPA, even if it's a bit verbose...	o	['Usability']					95	34
3466	3409608	3409608:16	Much appreciated.	p	['Usability']					19	46
714	1109307	1109307:58	This can be a daemon app (or Windows system process), or it can be a Unix-style superserver that's configured to load and run the actual file-copy app when someone contacts the listening port.	o	['OnlySentiment']					196	155
3589	309424	309424:84	In the situation where you want to take something that you know is encoded in the default encoding for the platform, then the default version is correct.	o	['Usability']					155	42
2183	333690	333690:16	Definitely an up vote!.	p	['Others']					25	83
192	35785	35785:42	Castor provides Java-to-XML binding, Java-to-SQL persistence, and more.	p	['Community']					73	243
2101	7873197	7873197:8	You can use the CODETERM2 annotation to flag other types (such as ServletContext or the HttpServletRequest specifically).	o	['Others']					123	86
2857	483379	483379:34	You can then analyze the heap dump with the _jhat_ tool (it comes with your JDK).	o	['Performance']					83	63
2833	483379	483379:10	Now, even the longest response does not carry 4MB of data.	o	['Performance']					60	64
3772	312552	312552:25	Thanks.	p	['Usability']					9	37
3365	5536458	5536458:18	;) .	n	['Usability']					6	49
1819	9887454	9887454:11	3) Please look to increase that (17%) [accept rate]( URL_http://meta.stackoverflow.com/a/65088/155831) .	o	['Others']					106	95
3599	309424	309424:94	I like how this works without adding more libraries to your project.	p	['Usability']					70	42
657	1109307	1109307:1	How to transfer files from one computer to another over the network using Java?	o	['OnlySentiment']					81	159
4160	1802915	1802915:45	CODESNIPPET_JAVA1 .	o	['Usability']					21	21
3540	309424	309424:35	Simplifies the caller code considerably.	p	['Usability']					42	43
214	410890	410890:3	I get a rather useless exception text like: CODESNIPPET_JAVA2 .	n	['Community']					65	232
1528	268129	268129:10	First, we tried to look at how the business layer alone could be exposed to other web apps, and Spring offers JMX wrapping at the price of a tiny amount of XML.	o	['Others']					162	106
2340	7358775	7358775:29	) Have a very nice set of components, like for example TreeTable.	n	['Others']					67	78
2228	333690	333690:61	In the diagram below, ports represent the connector that enables the communication between components which are represented by the larger boxes.	p	['Others']					146	81
2032	20639844	20639844:35	Looks like their docs are pretty good too, and being open source, you should find lots of examples.	p	['Others']					101	88
215	410890	410890:4	I find it rather hard to find out wich call actually returend null, often finding myself refactoring the code to something like this: CODESNIPPET_JAVA3 .	n	['Community']					155	232
2959	507391	507391:43	URL_http://www.spec.org/jms2007/results/jms2007.html [ URL_http://www.spec.org/jms2007/results/jms2007.html ] .	o	['Security', 'Usability']					113	60
349	922779	922779:22	Replace your main class with DebuggerMainWrapper in your start-up scripts 2.	o	['Documentation', 'Security']					80	200
1010	326390	326390:158	One Line Solution CODESNIPPET_JAVA1 .	o	['Others']					39	132
1842	5828625	5828625:3	I like Swing and use it all the time.	p	['Others']					39	94
786	2356137	2356137:24	Using lineStr.getBytes().length ?	o	['OnlySentiment']					35	148
4274	2971315	2971315:88	It's clunky and hard to read, and overly verbose.	n	['Usability']		clarification			51	19
2619	26458	26458:55	It simply drops a little piece of information into your Javadoc marking it as an entry point.	o	['Performance', 'Usability']					95	70
1267	992019	992019:115	I can't speak to the legal ramifications of doing so (your software might be illegal to import into certain regions).	o	['Others']		suggestion			119	118
1255	992019	992019:103	@AndyNuss This example is for reversible encryption, which generally should not be used for passwords.	p	['Others']					104	118
59	2129375	2129375:33	URL_http://tika.apache.org/ [Apache-Tika] is the best choice.	p	['Bug']					63	327
3385	5536458	5536458:38	You are right - reading is not included - thus I only mentioned generation of his files.	o	['Usability']					90	48
4245	2971315	2971315:59	better article URL_http://java.sun.com/developer/technicalArticles/Interviews/comm unity/kabutz_qa.html.	p	['Usability']					106	20
969	326390	326390:117	I was looking for the quickest and simplest way to get a text file into a String.	n	['Others']					83	135
1729	3232842	3232842:7	Has a Maven repository, preferably it's already in the main repositories 4.	o	['Others']		query explain			77	99
3827	5620985	5620985:43	Also no documentation visible...	o	['Usability']					34	35
74	2129375	2129375:48	Well: there aren't so many good HTML parsers in java as you need, but here are some alternatives: URL_http://java-source.net/open-source/html-parsers [http ://java-source.net/open-source/html-parsers] Very few of them support Javascript.	n	['Bug']		suggestion			239	312
1580	268129	268129:62	If you don't like RMI, Spring offers a few other remoting options - Hessian, Burlap, and HttpInvoker (Spring's custom remoting solution - Java serialization over HTTP).	p	['Others']		clarification			170	104
2425	7358775	7358775:114	But some are slow, some are buggy, some are incomplete.	n	['Others']					57	75
1852	5828625	5828625:13	@Dean: The application framework was a JSR planned for Java 7, now deferred.	n	['Others']					78	94
991	326390	326390:139	I seems to me that the finally block does not know variables defined in the try block.	o	['Others']					88	134
2927	507391	507391:11	And an independent report would be nice.....	n	['Portability']					46	61
3632	309424	309424:127	How about this?	o	['Usability']					17	41
2208	333690	333690:41	For example, Restlet can easily work with remote resources using its HTTP client connector.	o	['Others']					93	82
144	5059224	5059224:60	The only possible reason to use DOM is because it's perceived as a standard and is supplied in the JDK: in all other respects, the others are all superior.	n	['Bug']					157	264
1552	268129	268129:34	But they share the common EJB back end, so you have only a single 2nd level cache.	o	['Others']					84	105
3149	338586	338586:138	Gson can also be used to serialize arbitrarily complex objects.	o	['Usability']		suggestion			65	55
2157	8938752	8938752:55	This is just my point, why use a sledgehammer to hammer in a nail.	n	['Others']					68	84
1257	992019	992019:105	That means that in the example above, you'd store the result of tmp.getEncoded() as the hash.	o	['Others']					95	118
2792	2994304	2994304:54	We still use it.	o	['Performance']					18	64
743	3775694	3775694:23	close - he's not using arrays but lists.	o	['OnlySentiment']					42	152
1681	3451935	3451935:67	I'd recommend it.	o	['Others']					19	101
3704	309424	309424:199	Since you're using buffer variable locally with no chance of being shared across multiple threads you should consider changing its type to StringBuilder, to avoid the overhead of (useless) synchronization.	n	['Usability']		explain suggestion			207	39
2283	221442	221442:37	I use Apache HTTPClient to handle all the HTTP side of things.	o	['Others']					64	79
1856	5828625	5828625:17	Thanks for sorting this out for me.	p	['Others']					37	94
